MANAGERDOMAIN=bloxdigital.com

#ADS.TXT File
#CitySpark
google.com, pub-4258145870407398, DIRECT, f08c47fec0942fa0
#v1.0 12-01-2017 (paid recs)
#Outbrain
Outbrain.com, 009f57a4fb6bcd9cc22af7f56180a6a668, DIRECT
#Connatix
Connatix.com, 102260, DIRECT
#taboola
taboola.com,878,RESELLER,c228e6794e811952
taboola.com,879,DIRECT,c228e6794e811952 
taboola.com,879,RESELLER,c228e6794e811952
taboola.com,880,DIRECT,c228e6794e811952 
taboola.com,880,RESELLER,c228e6794e811952
taboola.com,881,DIRECT,c228e6794e811952 
taboola.com,881,RESELLER,c228e6794e811952
taboola.com,882,DIRECT,c228e6794e811952 
taboola.com,882,RESELLER,c228e6794e811952
taboola.com,883,DIRECT,c228e6794e811952 
taboola.com,883,RESELLER,c228e6794e811952
taboola.com,884,DIRECT,c228e6794e811952 
taboola.com,884,RESELLER,c228e6794e811952
taboola.com,885,DIRECT,c228e6794e811952 
taboola.com,885,RESELLER,c228e6794e811952
taboola.com,886,DIRECT,c228e6794e811952 
taboola.com,886,RESELLER,c228e6794e811952
taboola.com,887,DIRECT,c228e6794e811952 
taboola.com,887,RESELLER,c228e6794e811952
taboola.com,888,DIRECT,c228e6794e811952 
taboola.com,888,RESELLER,c228e6794e811952
taboola.com,889,DIRECT,c228e6794e811952 
taboola.com,889,RESELLER,c228e6794e811952
taboola.com,890,DIRECT,c228e6794e811952 
taboola.com,890,RESELLER,c228e6794e811952
taboola.com,891,DIRECT,c228e6794e811952 
taboola.com,891,RESELLER,c228e6794e811952
taboola.com,892,DIRECT,c228e6794e811952 
taboola.com,892,RESELLER,c228e6794e811952
taboola.com,893,DIRECT,c228e6794e811952 
taboola.com,893,RESELLER,c228e6794e811952
taboola.com,894,DIRECT,c228e6794e811952 
taboola.com,894,RESELLER,c228e6794e811952
taboola.com,895,DIRECT,c228e6794e811952 
taboola.com,895,RESELLER,c228e6794e811952
taboola.com,896,DIRECT,c228e6794e811952 
taboola.com,896,RESELLER,c228e6794e811952
taboola.com,897,DIRECT,c228e6794e811952 
taboola.com,897,RESELLER,c228e6794e811952
taboola.com,899,DIRECT,c228e6794e811952 
taboola.com,899,RESELLER,c228e6794e811952
taboola.com,900,DIRECT,c228e6794e811952 
taboola.com,900,RESELLER,c228e6794e811952
taboola.com,901,DIRECT,c228e6794e811952 
taboola.com,901,RESELLER,c228e6794e811952
taboola.com,902,DIRECT,c228e6794e811952 
taboola.com,902,RESELLER,c228e6794e811952
taboola.com,903,DIRECT,c228e6794e811952 
taboola.com,903,RESELLER,c228e6794e811952
taboola.com,904,DIRECT,c228e6794e811952 
taboola.com,904,RESELLER,c228e6794e811952
taboola.com,905,DIRECT,c228e6794e811952 
taboola.com,905,RESELLER,c228e6794e811952
taboola.com,906,DIRECT,c228e6794e811952 
taboola.com,906,RESELLER,c228e6794e811952
taboola.com,907,DIRECT,c228e6794e811952 
taboola.com,907,RESELLER,c228e6794e811952
taboola.com,908,DIRECT,c228e6794e811952 
taboola.com,908,RESELLER,c228e6794e811952
taboola.com,909,DIRECT,c228e6794e811952 
taboola.com,909,RESELLER,c228e6794e811952
taboola.com,910,DIRECT,c228e6794e811952 
taboola.com,910,RESELLER,c228e6794e811952
taboola.com,911,DIRECT,c228e6794e811952 
taboola.com,911,RESELLER,c228e6794e811952
taboola.com,912,DIRECT,c228e6794e811952 
taboola.com,912,RESELLER,c228e6794e811952
taboola.com,913,DIRECT,c228e6794e811952 
taboola.com,913,RESELLER,c228e6794e811952
taboola.com,914,DIRECT,c228e6794e811952 
taboola.com,914,RESELLER,c228e6794e811952
taboola.com,915,DIRECT,c228e6794e811952 
taboola.com,915,RESELLER,c228e6794e811952
taboola.com,916,DIRECT,c228e6794e811952 
taboola.com,916,RESELLER,c228e6794e811952
taboola.com,917,DIRECT,c228e6794e811952 
taboola.com,917,RESELLER,c228e6794e811952
taboola.com,918,DIRECT,c228e6794e811952 
taboola.com,918,RESELLER,c228e6794e811952
taboola.com,919,DIRECT,c228e6794e811952 
taboola.com,919,RESELLER,c228e6794e811952
taboola.com,920,DIRECT,c228e6794e811952 
taboola.com,920,RESELLER,c228e6794e811952
taboola.com,921,DIRECT,c228e6794e811952 
taboola.com,921,RESELLER,c228e6794e811952
taboola.com,922,DIRECT,c228e6794e811952 
taboola.com,922,RESELLER,c228e6794e811952
taboola.com,923,DIRECT,c228e6794e811952 
taboola.com,923,RESELLER,c228e6794e811952
taboola.com,924,DIRECT,c228e6794e811952 
taboola.com,924,RESELLER,c228e6794e811952
taboola.com,925,DIRECT,c228e6794e811952 
taboola.com,925,RESELLER,c228e6794e811952
taboola.com,926,DIRECT,c228e6794e811952 
taboola.com,926,RESELLER,c228e6794e811952
taboola.com,927,DIRECT,c228e6794e811952 
taboola.com,927,RESELLER,c228e6794e811952
taboola.com,928,DIRECT,c228e6794e811952 
taboola.com,928,RESELLER,c228e6794e811952
taboola.com,929,DIRECT,c228e6794e811952 
taboola.com,929,RESELLER,c228e6794e811952
taboola.com,930,DIRECT,c228e6794e811952 
taboola.com,930,RESELLER,c228e6794e811952
taboola.com,931,DIRECT,c228e6794e811952 
taboola.com,931,RESELLER,c228e6794e811952
taboola.com,932,DIRECT,c228e6794e811952 
taboola.com,932,RESELLER,c228e6794e811952
taboola.com,933,DIRECT,c228e6794e811952 
taboola.com,933,RESELLER,c228e6794e811952
taboola.com,934,DIRECT,c228e6794e811952 
taboola.com,934,RESELLER,c228e6794e811952
taboola.com,935,DIRECT,c228e6794e811952 
taboola.com,935,RESELLER,c228e6794e811952
taboola.com,936,DIRECT,c228e6794e811952 
taboola.com,936,RESELLER,c228e6794e811952
taboola.com,937,DIRECT,c228e6794e811952 
taboola.com,937,RESELLER,c228e6794e811952
taboola.com,938,DIRECT,c228e6794e811952 
taboola.com,938,RESELLER,c228e6794e811952
taboola.com,939,DIRECT,c228e6794e811952 
taboola.com,939,RESELLER,c228e6794e811952
taboola.com,940,DIRECT,c228e6794e811952 
taboola.com,940,RESELLER,c228e6794e811952
taboola.com,941,DIRECT,c228e6794e811952 
taboola.com,941,RESELLER,c228e6794e811952
taboola.com,942,DIRECT,c228e6794e811952 
taboola.com,942,RESELLER,c228e6794e811952
taboola.com,943,DIRECT,c228e6794e811952 
taboola.com,943,RESELLER,c228e6794e811952
taboola.com,944,DIRECT,c228e6794e811952 
taboola.com,944,RESELLER,c228e6794e811952
taboola.com,945,DIRECT,c228e6794e811952 
taboola.com,945,RESELLER,c228e6794e811952
taboola.com,946,DIRECT,c228e6794e811952 
taboola.com,946,RESELLER,c228e6794e811952
taboola.com,947,DIRECT,c228e6794e811952 
taboola.com,947,RESELLER,c228e6794e811952
taboola.com,948,DIRECT,c228e6794e811952 
taboola.com,948,RESELLER,c228e6794e811952
taboola.com,949,DIRECT,c228e6794e811952 
taboola.com,949,RESELLER,c228e6794e811952
taboola.com,950,DIRECT,c228e6794e811952 
taboola.com,950,RESELLER,c228e6794e811952
taboola.com,951,DIRECT,c228e6794e811952 
taboola.com,951,RESELLER,c228e6794e811952
taboola.com,952,DIRECT,c228e6794e811952 
taboola.com,952,RESELLER,c228e6794e811952
taboola.com,953,DIRECT,c228e6794e811952 
taboola.com,953,RESELLER,c228e6794e811952
taboola.com,954,DIRECT,c228e6794e811952 
taboola.com,954,RESELLER,c228e6794e811952
taboola.com,955,DIRECT,c228e6794e811952 
taboola.com,955,RESELLER,c228e6794e811952
taboola.com,956,DIRECT,c228e6794e811952 
taboola.com,956,RESELLER,c228e6794e811952
taboola.com,957,DIRECT,c228e6794e811952 
taboola.com,957,RESELLER,c228e6794e811952
taboola.com,958,DIRECT,c228e6794e811952 
taboola.com,958,RESELLER,c228e6794e811952
taboola.com,959,DIRECT,c228e6794e811952 
taboola.com,959,RESELLER,c228e6794e811952
taboola.com,960,DIRECT,c228e6794e811952 
taboola.com,960,RESELLER,c228e6794e811952
taboola.com,961,DIRECT,c228e6794e811952 
taboola.com,961,RESELLER,c228e6794e811952
taboola.com,962,DIRECT,c228e6794e811952 
taboola.com,962,RESELLER,c228e6794e811952
taboola.com,963,DIRECT,c228e6794e811952 
taboola.com,963,RESELLER,c228e6794e811952
taboola.com,964,DIRECT,c228e6794e811952 
taboola.com,964,RESELLER,c228e6794e811952
taboola.com,965,DIRECT,c228e6794e811952 
taboola.com,965,RESELLER,c228e6794e811952
taboola.com,966,DIRECT,c228e6794e811952 
taboola.com,966,RESELLER,c228e6794e811952
taboola.com,967,DIRECT,c228e6794e811952 
taboola.com,967,RESELLER,c228e6794e811952
taboola.com,968,DIRECT,c228e6794e811952 
taboola.com,968,RESELLER,c228e6794e811952
taboola.com,969,DIRECT,c228e6794e811952 
taboola.com,969,RESELLER,c228e6794e811952
taboola.com,970,DIRECT,c228e6794e811952 
taboola.com,970,RESELLER,c228e6794e811952
taboola.com,971,DIRECT,c228e6794e811952 
taboola.com,971,RESELLER,c228e6794e811952
taboola.com,972,DIRECT,c228e6794e811952 
taboola.com,972,RESELLER,c228e6794e811952
taboola.com,974,DIRECT,c228e6794e811952 
taboola.com,974,RESELLER,c228e6794e811952
taboola.com,975,DIRECT,c228e6794e811952 
taboola.com,975,RESELLER,c228e6794e811952
taboola.com,976,DIRECT,c228e6794e811952 
taboola.com,976,RESELLER,c228e6794e811952
taboola.com,977,DIRECT,c228e6794e811952 
taboola.com,977,RESELLER,c228e6794e811952
taboola.com,978,DIRECT,c228e6794e811952 
taboola.com,978,RESELLER,c228e6794e811952
taboola.com,979,DIRECT,c228e6794e811952 
taboola.com,979,RESELLER,c228e6794e811952
taboola.com,980,DIRECT,c228e6794e811952 
taboola.com,980,RESELLER,c228e6794e811952
taboola.com,981,DIRECT,c228e6794e811952 
taboola.com,981,RESELLER,c228e6794e811952
taboola.com,982,DIRECT,c228e6794e811952 
taboola.com,982,RESELLER,c228e6794e811952
taboola.com,983,DIRECT,c228e6794e811952 
taboola.com,983,RESELLER,c228e6794e811952
taboola.com,984,DIRECT,c228e6794e811952 
taboola.com,984,RESELLER,c228e6794e811952
taboola.com,985,DIRECT,c228e6794e811952 
taboola.com,985,RESELLER,c228e6794e811952
taboola.com,986,DIRECT,c228e6794e811952 
taboola.com,986,RESELLER,c228e6794e811952
taboola.com,987,DIRECT,c228e6794e811952 
taboola.com,987,RESELLER,c228e6794e811952
taboola.com,988,DIRECT,c228e6794e811952 
taboola.com,988,RESELLER,c228e6794e811952
taboola.com,989,DIRECT,c228e6794e811952 
taboola.com,989,RESELLER,c228e6794e811952
taboola.com,990,DIRECT,c228e6794e811952 
taboola.com,990,RESELLER,c228e6794e811952
taboola.com,991,DIRECT,c228e6794e811952 
taboola.com,991,RESELLER,c228e6794e811952
taboola.com,992,DIRECT,c228e6794e811952 
taboola.com,992,RESELLER,c228e6794e811952
taboola.com,993,DIRECT,c228e6794e811952 
taboola.com,993,RESELLER,c228e6794e811952
taboola.com,994,DIRECT,c228e6794e811952 
taboola.com,994,RESELLER,c228e6794e811952
taboola.com,996,DIRECT,c228e6794e811952 
taboola.com,996,RESELLER,c228e6794e811952
taboola.com,997,DIRECT,c228e6794e811952 
taboola.com,997,RESELLER,c228e6794e811952
taboola.com,998,DIRECT,c228e6794e811952 
taboola.com,998,RESELLER,c228e6794e811952
taboola.com,999,DIRECT,c228e6794e811952 
taboola.com,999,RESELLER,c228e6794e811952
taboola.com,1000,DIRECT,c228e6794e811952 
taboola.com,1000,RESELLER,c228e6794e811952
taboola.com,1001,DIRECT,c228e6794e811952 
taboola.com,1001,RESELLER,c228e6794e811952
taboola.com,1002,DIRECT,c228e6794e811952 
taboola.com,1002,RESELLER,c228e6794e811952
taboola.com,1003,DIRECT,c228e6794e811952 
taboola.com,1003,RESELLER,c228e6794e811952
taboola.com,1004,DIRECT,c228e6794e811952 
taboola.com,1004,RESELLER,c228e6794e811952
taboola.com,1005,DIRECT,c228e6794e811952 
taboola.com,1005,RESELLER,c228e6794e811952
taboola.com,1006,DIRECT,c228e6794e811952 
taboola.com,1006,RESELLER,c228e6794e811952
taboola.com,1007,DIRECT,c228e6794e811952 
taboola.com,1007,RESELLER,c228e6794e811952
taboola.com,1008,DIRECT,c228e6794e811952 
taboola.com,1008,RESELLER,c228e6794e811952
taboola.com,1009,DIRECT,c228e6794e811952 
taboola.com,1009,RESELLER,c228e6794e811952
taboola.com,1010,DIRECT,c228e6794e811952 
taboola.com,1010,RESELLER,c228e6794e811952
taboola.com,1011,DIRECT,c228e6794e811952 
taboola.com,1011,RESELLER,c228e6794e811952
taboola.com,1012,DIRECT,c228e6794e811952 
taboola.com,1012,RESELLER,c228e6794e811952
taboola.com,1013,DIRECT,c228e6794e811952 
taboola.com,1013,RESELLER,c228e6794e811952
taboola.com,1014,DIRECT,c228e6794e811952 
taboola.com,1014,RESELLER,c228e6794e811952
taboola.com,1015,DIRECT,c228e6794e811952 
taboola.com,1015,RESELLER,c228e6794e811952
taboola.com,1016,DIRECT,c228e6794e811952 
taboola.com,1016,RESELLER,c228e6794e811952
taboola.com,1017,DIRECT,c228e6794e811952 
taboola.com,1017,RESELLER,c228e6794e811952
taboola.com,1018,DIRECT,c228e6794e811952 
taboola.com,1018,RESELLER,c228e6794e811952
taboola.com,1019,DIRECT,c228e6794e811952 
taboola.com,1019,RESELLER,c228e6794e811952
taboola.com,1020,DIRECT,c228e6794e811952 
taboola.com,1020,RESELLER,c228e6794e811952
taboola.com,1021,DIRECT,c228e6794e811952 
taboola.com,1021,RESELLER,c228e6794e811952
taboola.com,1022,DIRECT,c228e6794e811952 
taboola.com,1022,RESELLER,c228e6794e811952
taboola.com,1023,DIRECT,c228e6794e811952 
taboola.com,1023,RESELLER,c228e6794e811952
taboola.com,1024,DIRECT,c228e6794e811952 
taboola.com,1024,RESELLER,c228e6794e811952
taboola.com,1025,DIRECT,c228e6794e811952 
taboola.com,1025,RESELLER,c228e6794e811952
taboola.com,1026,DIRECT,c228e6794e811952 
taboola.com,1026,RESELLER,c228e6794e811952
taboola.com,1027,DIRECT,c228e6794e811952 
taboola.com,1027,RESELLER,c228e6794e811952
taboola.com,1028,DIRECT,c228e6794e811952 
taboola.com,1028,RESELLER,c228e6794e811952
taboola.com,1029,DIRECT,c228e6794e811952 
taboola.com,1029,RESELLER,c228e6794e811952
taboola.com,1030,DIRECT,c228e6794e811952 
taboola.com,1030,RESELLER,c228e6794e811952
taboola.com,1031,DIRECT,c228e6794e811952 
taboola.com,1031,RESELLER,c228e6794e811952
taboola.com,1032,DIRECT,c228e6794e811952 
taboola.com,1032,RESELLER,c228e6794e811952
taboola.com,1033,DIRECT,c228e6794e811952 
taboola.com,1033,RESELLER,c228e6794e811952
taboola.com,1034,DIRECT,c228e6794e811952 
taboola.com,1034,RESELLER,c228e6794e811952
taboola.com,1035,DIRECT,c228e6794e811952 
taboola.com,1035,RESELLER,c228e6794e811952
taboola.com,1036,DIRECT,c228e6794e811952 
taboola.com,1036,RESELLER,c228e6794e811952
taboola.com,1037,DIRECT,c228e6794e811952 
taboola.com,1037,RESELLER,c228e6794e811952
taboola.com,1038,DIRECT,c228e6794e811952 
taboola.com,1038,RESELLER,c228e6794e811952
taboola.com,1039,DIRECT,c228e6794e811952 
taboola.com,1039,RESELLER,c228e6794e811952
taboola.com,1040,DIRECT,c228e6794e811952 
taboola.com,1040,RESELLER,c228e6794e811952
taboola.com,1041,DIRECT,c228e6794e811952 
taboola.com,1041,RESELLER,c228e6794e811952
taboola.com,1042,DIRECT,c228e6794e811952 
taboola.com,1042,RESELLER,c228e6794e811952
taboola.com,1043,DIRECT,c228e6794e811952 
taboola.com,1043,RESELLER,c228e6794e811952
taboola.com,1044,DIRECT,c228e6794e811952 
taboola.com,1044,RESELLER,c228e6794e811952
taboola.com,1045,DIRECT,c228e6794e811952 
taboola.com,1045,RESELLER,c228e6794e811952
taboola.com,1046,DIRECT,c228e6794e811952 
taboola.com,1046,RESELLER,c228e6794e811952
taboola.com,1047,DIRECT,c228e6794e811952 
taboola.com,1047,RESELLER,c228e6794e811952
taboola.com,1048,DIRECT,c228e6794e811952 
taboola.com,1048,RESELLER,c228e6794e811952
